Stay;BodyType;AircraftType;NbTowings;Arr_Number;Arr_Date;Arr_Hour;Arr_CourrierCode;Dep_Number;Dep_Date;Dep_Hour;Dep_CourrierCode
2309508;GP;777;0;257;21/06/2016;06:10;LC;0;21/06/2016;07:10;LC
2309509;MP;320;0;1197;21/06/2016;22:20;MC;0;21/06/2016;23:20;MC
2309510;MP;321;0;1383;21/06/2016;11:45;MC;0;21/06/2016;12:45;MC
2309896;3N;E90;0;1719;20/06/2016;22:05;MC;1518;21/06/2016;07:30;MC
2309897;MP;320;0;1243;21/06/2016;08:35;MC;1532;21/06/2016;09:50;MC
2309898;3N;E70;0;7639;21/06/2016;15:40;MC;1524;21/06/2016;16:25;MC
2309899;MP;319;0;1727;21/06/2016;16:50;MC;1526;21/06/2016;18:05;MC
2309901;MP;320;0;1301;21/06/2016;15:00;MC;1510;21/06/2016;15:55;MC
2309902;MP;321;0;1005;21/06/2016;08:50;MC;1504;21/06/2016;09:45;MC
2309904;3N;E90;0;7537;21/06/2016;12:15;MC;1506;21/06/2016;12:55;MC
2309905;3N;E70;0;1765;21/06/2016;09:30;MC;1516;21/06/2016;10:20;MC
2309906;MP;318;0;1713;21/06/2016;18:40;MC;1512;21/06/2016;19:50;MC
2309907;MP;318;0;7689;21/06/2016;12:20;MC;1566;21/06/2016;13:10;MC
2309908;3N;E90;0;1607;21/06/2016;13:20;MC;1576;21/06/2016;16:20;MC
2309910;MP;318;0;1057;21/06/2016;11:50;MC;1560;21/06/2016;13:00;MC
2309911;MP;319;0;1465;21/06/2016;17:35;MC;1564;21/06/2016;18:45;MC
2309912;MP;320;0;1081;21/06/2016;09:15;MC;1580;21/06/2016;10:10;MC
2309913;MP;318;0;7733;21/06/2016;19:45;MC;1578;21/06/2016;20:35;MC
2309914;MP;318;2;1049;20/06/2016;21:20;MC;1542;21/06/2016;07:15;MC
2309915;MP;321;0;7625;21/06/2016;12:05;MC;1534;21/06/2016;13:00;MC
2309916;3N;E90;0;1375;21/06/2016;19:10;MC;1552;21/06/2016;19:55;MC
2309917;MP;319;0;1233;21/06/2016;14:40;MC;1548;21/06/2016;15:30;MC
2309918;MP;320;2;1197;20/06/2016;22:20;MC;1554;21/06/2016;07:20;MC
2309919;MP;320;0;1125;21/06/2016;09:30;MC;1426;21/06/2016;10:25;MC
2309920;MP;318;2;7715;20/06/2016;22:15;MC;1434;21/06/2016;07:35;MC
2309921;MP;318;0;1815;21/06/2016;19:30;MC;1414;21/06/2016;21:10;MC
2309922;3N;E90;0;1775;21/06/2016;15:05;MC;1406;21/06/2016;15:45;MC
2309924;MP;319;0;7681;21/06/2016;07:50;MC;1410;21/06/2016;08:35;MC
2309925;3N;E70;0;1811;21/06/2016;20:00;MC;1416;21/06/2016;20:50;MC
2309926;MP;318;2;1239;20/06/2016;22:15;MC;1422;21/06/2016;07:20;MC
2309927;3N;E70;0;1187;21/06/2016;17:25;MC;1472;21/06/2016;19:00;MC
2309928;3N;E90;0;1107;21/06/2016;07:55;MC;1476;21/06/2016;08:35;MC
2309929;MP;319;0;1381;21/06/2016;09:00;MC;1464;21/06/2016;09:55;MC
2309930;MP;320;0;1781;21/06/2016;18:05;MC;1496;21/06/2016;19:00;MC
2309931;3N;E90;0;1687;21/06/2016;14:25;MC;1486;21/06/2016;15:25;MC
2309932;MP;318;0;1723;21/06/2016;14:15;MC;1494;21/06/2016;15:30;MC
2309933;MP;321;0;1649;21/06/2016;17:05;MC;1440;21/06/2016;18:00;MC
2309934;MP;318;0;1435;21/06/2016;11:55;MC;1442;21/06/2016;12:50;MC
2309935;3N;E70;0;1393;21/06/2016;19:45;MC;1438;21/06/2016;20:25;MC
2309936;MP;320;0;1343;21/06/2016;19:15;MC;1462;21/06/2016;20:05;MC
2309937;MP;321;0;1835;21/06/2016;19:55;MC;1448;21/06/2016;21:00;MC
2309938;3N;E90;0;1307;21/06/2016;10:35;MC;1452;21/06/2016;13:05;MC
2309939;MP;318;0;1543;21/06/2016;10:25;MC;1742;21/06/2016;11:15;MC
2309940;MP;321;0;1205;21/06/2016;12:25;MC;1738;21/06/2016;13:25;MC
2309941;MP;318;0;1423;21/06/2016;11:25;MC;1740;21/06/2016;12:35;MC
2309942;MP;319;0;1089;21/06/2016;09:20;MC;1752;21/06/2016;10:20;MC
2309943;MP;319;0;1145;21/06/2016;11:45;MC;1744;21/06/2016;12:50;MC
2309944;MP;318;2;1405;20/06/2016;21:20;MC;1750;21/06/2016;07:15;MC
2309945;MP;318;0;1843;21/06/2016;13:15;MC;1712;21/06/2016;14:45;MC
2309946;3N;E90;0;1453;21/06/2016;18:00;MC;1718;21/06/2016;18:40;MC
2309948;MP;318;0;1415;21/06/2016;09:05;MC;1722;21/06/2016;10:15;MC
2309949;MP;319;0;1213;21/06/2016;11:25;MC;1726;21/06/2016;12:35;MC
2309950;MP;321;0;1033;21/06/2016;09:00;MC;1734;21/06/2016;10:10;MC
2309951;MP;319;0;1855;21/06/2016;15:35;MC;1754;21/06/2016;16:25;MC
2309952;3N;E70;0;1317;21/06/2016;19:20;MC;1724;21/06/2016;20:00;MC
2309953;MP;318;0;1147;21/06/2016;15:10;MC;1814;21/06/2016;16:10;MC
2309954;MP;318;0;7737;21/06/2016;07:50;MC;1812;21/06/2016;08:45;MC
2309955;MP;318;0;1751;21/06/2016;11:55;MC;1828;21/06/2016;12:55;MC
2309956;MP;319;0;7517;21/06/2016;11:25;MC;1832;21/06/2016;12:40;MC
2309957;MP;321;0;1641;21/06/2016;15:00;MC;1822;21/06/2016;15:55;MC
2309959;3N;E90;0;1019;21/06/2016;08:55;MC;1774;21/06/2016;09:40;MC
2309960;3N;E70;0;7583;21/06/2016;19:55;MC;1764;21/06/2016;20:45;MC
2309961;MP;318;0;1711;21/06/2016;16:40;MC;1766;21/06/2016;17:45;MC
2309962;MP;321;0;1735;21/06/2016;14:30;MC;1800;21/06/2016;15:25;MC
2309964;3N;E70;0;1293;21/06/2016;15:50;MC;1810;21/06/2016;16:30;MC
2309965;MP;320;0;1321;21/06/2016;12:05;MC;1780;21/06/2016;13:25;MC
2309966;MP;319;0;1281;21/06/2016;20:00;MC;1784;21/06/2016;20:55;MC
2309967;MP;319;0;1165;21/06/2016;11:40;MC;1788;21/06/2016;12:35;MC
2309968;3N;E90;0;1377;21/06/2016;09:20;MC;1606;21/06/2016;10:15;MC
2309970;MP;318;0;1329;21/06/2016;19:35;MC;1610;21/06/2016;20:55;MC
2309972;3N;E90;0;1553;21/06/2016;09:15;MC;1618;21/06/2016;10:00;MC
2309973;MP;318;0;1229;21/06/2016;12:05;MC;1614;21/06/2016;12:55;MC
